NACE	Description
A	AGRICULTURE, FORESTRY AND FISHING
A.01	Crop and animal production, hunting and related service activities
A.01.1	Growing of non-perennial crops
A.01.11	Growing of cereals (except rice), leguminous crops and oil seeds
A.01.12	Growing of rice
A.01.13	Growing of vegetables and melons, roots and tubers
A.01.14	Growing of sugar cane
A.01.15	Growing of tobacco
A.01.16	Growing of fibre crops
A.01.19	Growing of other non-perennial crops
A.01.2	Growing of perennial crops
A.01.21	Growing of grapes
A.01.22	Growing of tropical and subtropical fruits
A.01.23	Growing of citrus fruits
A.01.24	Growing of pome fruits and stone fruits
A.01.25	Growing of other tree and bush fruits and nuts
A.01.26	Growing of oleaginous fruits
A.01.27	Growing of beverage crops
A.01.28	Growing of spices, aromatic, drug and pharmaceutical crops
A.01.29	Growing of other perennial crops
A.01.3	Plant propagation
A.01.30	Plant propagation
A.01.4	Animal production
A.01.41	Raising of dairy cattle
A.01.42	Raising of other cattle and buffaloes
A.01.43	Raising of horses and other equines
A.01.44	Raising of camels and camelids
A.01.45	Raising of sheep and goats
A.01.46	Raising of swine/pigs
A.01.47	Raising of poultry
A.01.49	Raising of other animals
A.01.5	Mixed farming
A.01.50	Mixed farming
A.01.6	Support activities to agriculture and post-harvest crop activities
A.01.61	Support activities for crop production
A.01.62	Support activities for animal production
A.01.63	Post-harvest crop activities
A.01.64	Seed processing for propagation
A.01.7	Hunting, trapping and related service activities
A.01.70	Hunting, trapping and related service activities
A.02	Forestry and logging
A.02.1	Silviculture and other forestry activities
A.02.10	Silviculture and other forestry activities
A.02.2	Logging
A.02.20	Logging
A.02.3	Gathering of wild growing non-wood products
A.02.30	Gathering of wild growing non-wood products
A.02.4	Support services to forestry
A.02.40	Support services to forestry
A.03	Fishing and aquaculture
A.03.1	Fishing
A.03.11	Marine fishing
A.03.12	Freshwater fishing
A.03.2	Aquaculture
A.03.21	Marine aquaculture
A.03.22	Freshwater aquaculture
B	MINING AND QUARRYING
B.05	Mining of coal and lignite
B.05.1	Mining of hard coal
B.05.10	Mining of hard coal
B.05.2	Mining of lignite
B.05.20	Mining of lignite
B.06	Extraction of crude petroleum and natural gas
B.06.1	Extraction of crude petroleum
B.06.10	Extraction of crude petroleum
B.06.2	Extraction of natural gas
B.06.20	Extraction of natural gas
B.07	Mining of metal ores
B.07.1	Mining of iron ores
B.07.10	Mining of iron ores
B.07.2	Mining of non-ferrous metal ores
B.07.21	Mining of uranium and thorium ores
B.07.29	Mining of other non-ferrous metal ores
B.08	Other mining and quarrying
B.08.1	Quarrying of stone, sand and clay
B.08.11	Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate
B.08.12	Operation of gravel and sand pits; mining of clays and kaolin
B.08.9	Mining and quarrying n.e.c.
B.08.91	Mining of chemical and fertiliser minerals
B.08.92	Extraction of peat
B.08.93	Extraction of salt
B.08.99	Other mining and quarrying n.e.c.
B.09	Mining support service activities
B.09.1	Support activities for petroleum and natural gas extraction
B.09.10	Support activities for petroleum and natural gas extraction
B.09.9	Support activities for other mining and quarrying
B.09.90	Support activities for other mining and quarrying
C	MANUFACTURING
C.10	Manufacture of food products
C.10.1	Processing and preserving of meat and production of meat products
C.10.11	Processing and preserving of meat
C.10.12	Processing and preserving of poultry meat
C.10.13	Production of meat and poultry meat products
C.10.2	Processing and preserving of fish, crustaceans and molluscs
C.10.20	Processing and preserving of fish, crustaceans and molluscs
C.10.3	Processing and preserving of fruit and vegetables
C.10.31	Processing and preserving of potatoes
C.10.32	Manufacture of fruit and vegetable juice
C.10.39	Other processing and preserving of fruit and vegetables
C.10.4	Manufacture of vegetable and animal oils and fats
C.10.41	Manufacture of oils and fats
C.10.42	Manufacture of margarine and similar edible fats
C.10.5	Manufacture of dairy products
C.10.51	Operation of dairies and cheese making
C.10.52	Manufacture of ice cream
C.10.6	Manufacture of grain mill products, starches and starch products
C.10.61	Manufacture of grain mill products
C.10.62	Manufacture of starches and starch products
C.10.7	Manufacture of bakery and farinaceous products
C.10.71	Manufacture of bread; manufacture of fresh pastry goods and cakes
C.10.72	Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
C.10.73	Manufacture of macaroni, noodles, couscous and similar farinaceous products
C.10.8	Manufacture of other food products
C.10.81	Manufacture of sugar
C.10.82	Manufacture of cocoa, chocolate and sugar confectionery
C.10.83	Processing of tea and coffee
C.10.84	Manufacture of condiments and seasonings
C.10.85	Manufacture of prepared meals and dishes
C.10.86	Manufacture of homogenised food preparations and dietetic food
C.10.89	Manufacture of other food products n.e.c.
C.10.9	Manufacture of prepared animal feeds
C.10.91	Manufacture of prepared feeds for farm animals
C.10.92	Manufacture of prepared pet foods
C.11	Manufacture of beverages
C.11.0	Manufacture of beverages
C.11.01	Distilling, rectifying and blending of spirits
C.11.02	Manufacture of wine from grape
C.11.03	Manufacture of cider and other fruit wines
C.11.04	Manufacture of other non-distilled fermented beverages
C.11.05	Manufacture of beer
C.11.06	Manufacture of malt
C.11.07	Manufacture of soft drinks; production of mineral waters and other bottled waters
C.12	Manufacture of tobacco products
C.12.0	Manufacture of tobacco products
C.12.00	Manufacture of tobacco products
C.13	Manufacture of textiles
C.13.1	Preparation and spinning of textile fibres
C.13.10	Preparation and spinning of textile fibres
C.13.2	Weaving of textiles
C.13.20	Weaving of textiles
C.13.3	Finishing of textiles
C.13.30	Finishing of textiles
C.13.9	Manufacture of other textiles
C.13.91	Manufacture of knitted and crocheted fabrics
C.13.92	Manufacture of made-up textile articles, except apparel
C.13.93	Manufacture of carpets and rugs
C.13.94	Manufacture of cordage, rope, twine and netting
C.13.95	Manufacture of non-wovens and articles made from non-wovens, except apparel
C.13.96	Manufacture of other technical and industrial textiles
C.13.99	Manufacture of other textiles n.e.c.
C.14	Manufacture of wearing apparel
C.14.1	Manufacture of wearing apparel, except fur apparel
C.14.11	Manufacture of leather clothes
C.14.12	Manufacture of workwear
C.14.13	Manufacture of other outerwear
C.14.14	Manufacture of underwear
C.14.19	Manufacture of other wearing apparel and accessories
C.14.2	Manufacture of articles of fur
C.14.20	Manufacture of articles of fur
C.14.3	Manufacture of knitted and crocheted apparel
C.14.31	Manufacture of knitted and crocheted hosiery
C.14.39	Manufacture of other knitted and crocheted apparel
C.15	Manufacture of leather and related products
C.15.1	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur
C.15.11	Tanning and dressing of leather; dressing and dyeing of fur
C.15.12	Manufacture of luggage, handbags and the like, saddlery and harness
C.15.2	Manufacture of footwear
C.15.20	Manufacture of footwear
C.16	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials
C.16.1	Sawmilling and planing of wood
C.16.10	Sawmilling and planing of wood
C.16.2	Manufacture of products of wood, cork, straw and plaiting materials
C.16.21	Manufacture of veneer sheets and wood-based panels
C.16.22	Manufacture of assembled parquet floors
C.16.23	Manufacture of other builders' carpentry and joinery
C.16.24	Manufacture of wooden containers
C.16.29	Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials
C.17	Manufacture of paper and paper products
C.17.1	Manufacture of pulp, paper and paperboard
C.17.11	Manufacture of pulp
C.17.12	Manufacture of paper and paperboard
C.17.2	Manufacture of articles of paper and paperboard
C.17.21	Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
C.17.22	Manufacture of household and sanitary goods and of toilet requisites
C.17.23	Manufacture of paper stationery
C.17.24	Manufacture of wallpaper
C.17.29	Manufacture of other articles of paper and paperboard
C.18	Printing and reproduction of recorded media
C.18.1	Printing and service activities related to printing
C.18.11	Printing of newspapers
C.18.12	Other printing
C.18.13	Pre-press and pre-media services
C.18.14	Binding and related services
C.18.2	Reproduction of recorded media
C.18.20	Reproduction of recorded media
C.19	Manufacture of coke and refined petroleum products
C.19.1	Manufacture of coke oven products
C.19.10	Manufacture of coke oven products
C.19.2	Manufacture of refined petroleum products
C.19.20	Manufacture of refined petroleum products
C.20	Manufacture of chemicals and chemical products
C.20.1	Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms
C.20.11	Manufacture of industrial gases
C.20.11	Manufacture of industrial gases
C.20.11	Manufacture of industrial gases
C.20.12	Manufacture of dyes and pigments
C.20.13	Manufacture of other inorganic basic chemicals
C.20.14	Manufacture of other organic basic chemicals
C.20.15	Manufacture of fertilisers and nitrogen compounds
C.20.16	Manufacture of plastics in primary forms
C.20.17	Manufacture of synthetic rubber in primary forms
C.20.2	Manufacture of pesticides and other agrochemical products
C.20.20	Manufacture of pesticides and other agrochemical products
C.20.3	Manufacture of paints, varnishes and similar coatings, printing ink and mastics
C.20.30	Manufacture of paints, varnishes and similar coatings, printing ink and mastics
C.20.4	Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations
C.20.41	Manufacture of soap and detergents, cleaning and polishing preparations
C.20.42	Manufacture of perfumes and toilet preparations
C.20.5	Manufacture of other chemical products
C.20.51	Manufacture of explosives
C.20.52	Manufacture of glues
C.20.53	Manufacture of essential oils
C.20.59	Manufacture of other chemical products n.e.c.
C.20.6	Manufacture of man-made fibres
C.20.60	Manufacture of man-made fibres
C.21	Manufacture of basic pharmaceutical products and pharmaceutical preparations
C.21.1	Manufacture of basic pharmaceutical products
C.21.10	Manufacture of basic pharmaceutical products
C.21.2	Manufacture of pharmaceutical preparations
C.21.20	Manufacture of pharmaceutical preparations
C.22	Manufacture of rubber and plastic products
C.22.1	Manufacture of rubber products
C.22.11	Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
C.22.19	Manufacture of other rubber products
C.22.2	Manufacture of plastic products
C.22.21	Manufacture of plastic plates, sheets, tubes and profiles
C.22.22	Manufacture of plastic packing goods
C.22.23	Manufacture of builders’ ware of plastic
C.22.29	Manufacture of other plastic products
C.23	Manufacture of other non-metallic mineral products
C.23.1	Manufacture of glass and glass products
C.23.11	Manufacture of flat glass
C.23.12	Shaping and processing of flat glass
C.23.13	Manufacture of hollow glass
C.23.14	Manufacture of glass fibres
C.23.19	Manufacture and processing of other glass, including technical glassware
C.23.2	Manufacture of refractory products
C.23.20	Manufacture of refractory products
C.23.3	Manufacture of clay building materials
C.23.31	Manufacture of ceramic tiles and flags
C.23.32	Manufacture of bricks, tiles and construction products, in baked clay
C.23.4	Manufacture of other porcelain and ceramic products
C.23.41	Manufacture of ceramic household and ornamental articles
C.23.42	Manufacture of ceramic sanitary fixtures
C.23.43	Manufacture of ceramic insulators and insulating fittings
C.23.44	Manufacture of other technical ceramic products
C.23.49	Manufacture of other ceramic products
C.23.5	Manufacture of cement, lime and plaster
C.23.51	Manufacture of cement
C.23.52	Manufacture of lime and plaster
C.23.6	Manufacture of articles of concrete, cement and plaster
C.23.61	Manufacture of concrete products for construction purposes
C.23.62	Manufacture of plaster products for construction purposes
C.23.63	Manufacture of ready-mixed concrete
C.23.64	Manufacture of mortars
C.23.65	Manufacture of fibre cement
C.23.69	Manufacture of other articles of concrete, plaster and cement
